::1 - - [31/Mar/2023:17:17:06 +0100] "GET / HTTP/1.1" 200 1258
::1 - - [31/Mar/2023:17:17:07 +0100] "GET /loginsystem/style.css HTTP/1.1" 200 1133
::1 - - [31/Mar/2023:17:17:08 +0100] "GET /favicon.ico HTTP/1.1" 404 196
::1 - - [31/Mar/2023:17:17:10 +0100] "POST /index.php HTTP/1.1" 302 1258
::1 - - [31/Mar/2023:17:17:11 +0100] "GET /home.php HTTP/1.1" 200 1975
::1 - - [31/Mar/2023:17:17:11 +0100] "GET /css/home.css HTTP/1.1" 200 414
::1 - - [31/Mar/2023:17:17:11 +0100] "GET /css/nav.css HTTP/1.1" 200 1389
::1 - - [31/Mar/2023:17:17:11 +0100] "GET /css/sidebar.css HTTP/1.1" 200 624
::1 - - [31/Mar/2023:17:17:11 +0100] "GET /javascript/navbar.js HTTP/1.1" 200 469
::1 - - [31/Mar/2023:17:17:11 +0100] "GET /img/math-banner.png HTTP/1.1" 200 116000
::1 - - [31/Mar/2023:17:17:11 +0100] "GET /img/tree-banner.png HTTP/1.1" 200 53735
::1 - - [31/Mar/2023:17:17:11 +0100] "GET /img/vr-banner.png HTTP/1.1" 200 68950
::1 - - [31/Mar/2023:17:17:14 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:17:17:14 +0100] "GET /css/tree.css HTTP/1.1" 200 955
::1 - - [31/Mar/2023:17:17:14 +0100] "GET /css/vr.css HTTP/1.1" 200 388
::1 - - [31/Mar/2023:17:17:14 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 1989
::1 - - [31/Mar/2023:17:22:20 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:17:22:20 +0100] "GET /javascript/navbar.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:22:20 +0100] "GET /css/nav.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:22:20 +0100] "GET /css/vr.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:22:20 +0100] "GET /css/sidebar.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:22:20 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:22:20 +0100] "GET /css/tree.css HTTP/1.1" 200 995
::1 - - [31/Mar/2023:17:22:42 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:17:22:42 +0100] "GET /css/tree.css HTTP/1.1" 200 993
::1 - - [31/Mar/2023:17:22:56 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:17:22:56 +0100] "GET /css/tree.css HTTP/1.1" 200 994
::1 - - [31/Mar/2023:17:23:13 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:17:23:13 +0100] "GET /css/tree.css HTTP/1.1" 200 994
::1 - - [31/Mar/2023:17:23:46 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:17:23:46 +0100] "GET /css/tree.css HTTP/1.1" 200 1036
::1 - - [31/Mar/2023:17:23:59 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:17:23:59 +0100] "GET /css/tree.css HTTP/1.1" 200 1035
::1 - - [31/Mar/2023:17:24:42 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:17:24:42 +0100] "GET /css/tree.css HTTP/1.1" 200 1037
::1 - - [31/Mar/2023:17:25:42 +0100] "-" 408 -
::1 - - [31/Mar/2023:17:32:05 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:32:05 +0100] "GET /css/nav.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:32:05 +0100] "GET /css/vr.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:32:05 +0100] "GET /css/sidebar.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:57:33 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:17:57:33 +0100] "GET /javascript/navbar.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:57:33 +0100] "GET /css/sidebar.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:57:33 +0100] "GET /css/vr.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:57:33 +0100] "GET /css/nav.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:57:33 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:17:57:33 +0100] "GET /css/tree.css HTTP/1.1" 200 1037
::1 - - [31/Mar/2023:17:58:51 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:17:58:51 +0100] "GET /css/tree.css HTTP/1.1" 200 1063
::1 - - [31/Mar/2023:17:59:51 +0100] "-" 408 -
::1 - - [31/Mar/2023:18:02:50 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:02:50 +0100] "GET /css/tree.css HTTP/1.1" 200 1091
::1 - - [31/Mar/2023:18:03:05 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:03:05 +0100] "GET /css/tree.css HTTP/1.1" 200 1089
::1 - - [31/Mar/2023:18:03:16 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:03:16 +0100] "GET /css/tree.css HTTP/1.1" 200 1089
::1 - - [31/Mar/2023:18:04:00 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:04:01 +0100] "GET /css/tree.css HTTP/1.1" 200 1089
::1 - - [31/Mar/2023:18:04:08 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:04:08 +0100] "GET /javascript/navbar.js HTTP/1.1" 200 469
::1 - - [31/Mar/2023:18:04:08 +0100] "GET /css/tree.css HTTP/1.1" 200 1089
::1 - - [31/Mar/2023:18:04:08 +0100] "GET /css/nav.css HTTP/1.1" 200 1389
::1 - - [31/Mar/2023:18:04:08 +0100] "GET /css/vr.css HTTP/1.1" 200 388
::1 - - [31/Mar/2023:18:04:08 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 1989
